,name,url,comments
50,Test-Driven Development with Python,https://salttiger.com/test-driven-development-with-python/,6
51,Flask Web Development,https://salttiger.com/flask-web-development/,6
52,PostgreSQL Server Programming,https://salttiger.com/postgresql-server-programming/,6
53,Developing Backbone.js Applications,https://salttiger.com/developing-backbone-js-applications/,6
54,High Performance JavaScript,https://salttiger.com/high-performance-javascript/,6
55,The Robert C. Martin Clean Code Collection,https://salttiger.com/the-robert-c-martin-clean-code-collection/,5
56,"Core Java Volume II Advanced Features, 10th Edition",https://salttiger.com/core-java-volume-ii-advanced-features-10th-edition/,5
57,"Python for Data Analysis, 2nd Edition",https://salttiger.com/python-for-data-analysis-2nd-edition/,5
58,Hands-On Machine Learning with Scikit-Learn and TensorFlow,https://salttiger.com/hands-on-machine-learning-with-scikit-learn-and-tensorflow/,5
59,Akka in Action,https://salttiger.com/akka-in-action/,5
60,iOS Apps with REST APIs,https://salttiger.com/ios-apps-with-rest-apis/,5
61,"Java Persistence with Hibernate, 2nd Edition",https://salttiger.com/java-persistence-with-hibernate-2nd-edition/,5
62,"Core Data by Tutorials, 2nd Edition",https://salttiger.com/core-data-by-tutorials-2nd-edition/,5
63,Swift Apprentice,https://salttiger.com/swift-apprentice/,5
64,iOS 9 Programming Fundamentals with Swift,https://salttiger.com/ios-9-programming-fundamentals-with-swift/,5
65,Fluent Python,https://salttiger.com/fluent-python/,5
66,Data Algorithms,https://salttiger.com/data-algorithms/,5
67,团购Github官方手办 – 转自好友longkai,https://salttiger.com/github-figurine-group-buying/,5
68,D3.js in Action,https://salttiger.com/d3-js-in-action/,5
69,"Programming Scala, 2nd Edition",https://salttiger.com/programming-scala-2nd-edition/,5
70,Programming iOS 8,https://salttiger.com/programming-ios-8/,5
71,"Advanced Programming in the UNIX Environment, 3rd Edition",https://salttiger.com/advanced-programming-in-the-unix-environment-3rd-edition/,5
72,"Python Pocket Reference, 5th Edition",https://salttiger.com/python-pocket-reference-5th-edition/,5
73,"The C++ Programming Language, 4th Edition",https://salttiger.com/the-cpp-programming-language-4th-edition/,5
74,"Programming in Objective-C, 6th Edition",https://salttiger.com/programming-objective-c-6th-edition/,5
75,"Effective Perl Programming, 2nd Edition",https://salttiger.com/effective-perl-programming-2nd-edition/,5
76,R Statistical Application Development by Example Beginner’s Guide,https://salttiger.com/r-statistical-application-development-example-beginners-guide/,5
77,"Programming in Lua, 3rd Edition",https://salttiger.com/programming-lua-3rd-edition/,5
78,"Mining the Social Web, 2nd Edition",https://salttiger.com/mining-social-web-2nd-edition/,5
79,"Operating System Concepts, 9th Edition",https://salttiger.com/operating-system-concepts-9th-edition/,5
80,Learning JavaScript Design Patterns (Early Release),https://salttiger.com/learning-javascript-design-patterns-early-release/,5
81,Dojo: The Definitive Guide,https://salttiger.com/dojo-the-definitive-guide/,5
82,R Cookbook,https://salttiger.com/r-cookbook/,5
83,SwiftUI by Tutorials,https://salttiger.com/swiftui-by-tutorials/,4
84,"Database System Concepts, 7th Edition",https://salttiger.com/database-system-concepts-7th-edition/,4
85,"Design Patterns by Tutorials, 2nd Edition",https://salttiger.com/design-patterns-by-tutorials-2nd-edition/,4
86,"SQL Queries for Mere Mortals, 4th Edition",https://salttiger.com/sql-queries-for-mere-mortals-4th-edition/,4
87,"Operating System Concepts, 10th Edition",https://salttiger.com/operating-system-concepts-10th-edition/,4
88,Learn More Python 3 the Hard Way,https://salttiger.com/learn-more-python-3-the-hard-way/,4
89,Learning Vue.js 2,https://salttiger.com/learning-vue-js-2/,4
90,Cloud Native Go,https://salttiger.com/cloud-native-go/,4
91,Windows 10: The Missing Manual,https://salttiger.com/windows-10-the-missing-manual/,4
92,"iOS Animations by Tutorials, 2nd Edition",https://salttiger.com/ios-animations-by-tutorials-2nd-edition/,4
93,"Advanced Analytics with Spark, Early Release Edition",https://salttiger.com/advanced-analytics-with-spark-early-release-edition/,4
94,"Learning PHP, MySQL & JavaScript, 4th Edition",https://salttiger.com/learning-php-mysql-javascript-4th-edition/,4
95,Core Data by Tutorials,https://salttiger.com/core-data-by-tutorials/,4
96,更新情况说明,https://salttiger.com/update-explanation/,4
97,CoffeeScript in Action,https://salttiger.com/coffeescript-in-action/,4
98,Node.js in Action,https://salttiger.com/node-js-in-action/,4
99,"Programming iOS 7, 4th Edition",https://salttiger.com/programming-ios-7-4th-edition/,4
100,Effective JavaScript,https://salttiger.com/effective-javascript/,4
101,"RESTful Java with JAX-RS 2.0, 2nd Edition",https://salttiger.com/restful-java-jax-rs-2-0-2nd-edition/,4
102,ZooKeeper,https://salttiger.com/zookeeper/,4
103,Agile Web Development with Rails 4,https://salttiger.com/agile-web-development-rails-4/,4
104,"Programming Erlang, 2nd Edition",https://salttiger.com/programming-erlang-2nd-edition/,4
105,Pro ASP.NET Web API,https://salttiger.com/pro-asp-net-web-api/,4
106,"Head First HTML and CSS, 2nd Edition",https://salttiger.com/head-first-html-and-css-2nd-edition/,4
107,The Joy of Clojure,https://salttiger.com/the-joy-of-clojure/,4
108,Deep Learning with JavaScript,https://salttiger.com/deep-learning-with-javascript/,3
109,Practical Binary Analysis,https://salttiger.com/practical-binary-analysis/,3
110,The Little Typer,https://salttiger.com/the-little-typer/,3
111,"Digital Image Processing, 4th Global Edition",https://salttiger.com/digital-image-processing-4th-global-edition/,3
112,"Absolute FreeBSD, 3rd Edition",https://salttiger.com/absolute-freebsd-3rd-edition/,3
113,"Learning Web Design, 5th Edition",https://salttiger.com/learning-web-design-5th-edition/,3
114,"Introduction to Programming in Java, 2nd Edition",https://salttiger.com/introduction-to-programming-in-java-2nd-edition/,3
115,The Python 3 Standard Library by Example,https://salttiger.com/the-python-3-standard-library-by-example/,3
116,"Programming Interviews Exposed, 4th Edition",https://salttiger.com/programming-interviews-exposed-4th-edition/,3
117,Deep Learning with Python,https://salttiger.com/deep-learning-with-python/,3
118,"Hacking Exposed Wireless, 3rd Edition",https://salttiger.com/hacking-exposed-wireless-3rd-edition/,3
119,Functional Programming in Java,https://salttiger.com/functional-programming-in-java-2/,3
120,Concurrency in Go,https://salttiger.com/concurrency-in-go/,3
121,PostgreSQL High Performance Cookbook,https://salttiger.com/postgresql-high-performance-cookbook/,3
122,"Learning Swift, 2nd Edition",https://salttiger.com/learning-swift-2nd-edition/,3
123,Laravel: Up and Running,https://salttiger.com/laravel-up-and-running/,3
124,Programming Elixir 1.3,https://salttiger.com/programming-elixir-1-3/,3
125,Automating Junos Administration,https://salttiger.com/automating-junos-administration/,3
126,Functional Reactive Programming,https://salttiger.com/functional-reactive-programming/,3
127,"iOS Programming: The Big Nerd Ranch Guide, 5th Edition",https://salttiger.com/ios-programming-the-big-nerd-ranch-guide-5th-edition/,3
128,The essentials of Object Oriented PHP,https://salttiger.com/the-essentials-of-object-oriented-php/,3
129,The iOS Apprentice: 4th Edition,https://salttiger.com/the-ios-apprentice-4th-edition/,3
130,Getting Started with React Native,https://salttiger.com/getting-started-with-react-native/,3
131,Spring Boot in Action,https://salttiger.com/spring-boot-in-action/,3
132,The Node Craftsman Book,https://salttiger.com/the-node-craftsman-book/,3
133,"Learning Apache Kafka, 2nd Edition",https://salttiger.com/learning-apache-kafka-2nd-edition/,3
134,Big Data,https://salttiger.com/big-data/,3
135,Web Scraping with Python,https://salttiger.com/web-scraping-with-python/,3
136,"HTML5 & CSS3 for the Real World, 2nd Edition",https://salttiger.com/html5-and-css3-for-the-real-world-2nd-edition/,3
137,iOS 8 Programming Fundamentals with Swift,https://salttiger.com/ios-8-programming-fundamentals-with-swift/,3
138,Atomic Scala,https://salttiger.com/atomic-scala/,3
139,"Developing Web Apps with Haskell and Yesod, 2nd Edition",https://salttiger.com/developing-web-apps-with-haskell-and-yesod-2nd-edition/,3
140,Learning Agile,https://salttiger.com/learning-agile/,3
141,iOS 8 Swift Programming Cookbook,https://salttiger.com/ios-8-swift-programming-cookbook/,3
142,Python for Finance,https://salttiger.com/python-for-finance-2/,3
143,Bruce Schneier on Trust Set,https://salttiger.com/bruce-schneier-on-trust-set/,3
144,"IPv6 Essentials, 3rd Edition",https://salttiger.com/ipv6-essentials-3rd-edition/,3
145,"Algorithms: Part I, 4th Edition",https://salttiger.com/algorithms-part-i-4th-edition/,3
146,Java SE 8 for the Really Impatient,https://salttiger.com/java-se-8-for-the-really-impatient/,3
147,Getting Started with Bluetooth Low Energy,https://salttiger.com/getting-started-with-bluetooth-low-energy/,3
148,Big Data Analytics with R and Hadoop,https://salttiger.com/big-data-analytics-with-r-and-hadoop/,3
149,Securing Hadoop,https://salttiger.com/securing-hadoop/,3
150,"Practical UNIX and Internet Security, 3rd Edition",https://salttiger.com/practical-unix-and-internet-security-3rd-edition/,3
151,Real-Time Communication with WebRTC,https://salttiger.com/real-time-communication-with-webrtc/,3
152,Java Performance: The Definitive Guide,https://salttiger.com/java-performance-the-definitive-guide/,3
153,"Ext JS in Action, 2nd Edition",https://salttiger.com/ext-js-action-2nd-edition/,3
154,Gradle in Action,https://salttiger.com/gradle-action/,3
155,Speaking JavaScript,https://salttiger.com/speaking-javascript/,3
156,Learning Apache Karaf,https://salttiger.com/learning-apache-karaf/,3
157,"Mastering Perl, 2nd Edition",https://salttiger.com/mastering-perl-2nd-edition/,3
158,Thinking with Data,https://salttiger.com/thinking-data/,3
159,Seven Web Frameworks in Seven Weeks,https://salttiger.com/seven-web-frameworks-seven-weeks/,3
160,Mastering Web Application Development with AngularJS,https://salttiger.com/mastering-web-application-development-angularjs/,3
161,"Effective Java, 2nd Edition",https://salttiger.com/effective-java-2nd-edition/,3
162,Expert JavaScript,https://salttiger.com/expert-javascript/,3
163,Mobile HTML5,https://salttiger.com/mobile-html5/,3
164,"Node Web Development, 2nd Edition",https://salttiger.com/node-web-development-2nd-edition/,3
165,"HTML5 and CSS3, 2nd Edition",https://salttiger.com/html5-css3-2nd-edition/,3
166,iOS 7 Programming Cookbook,https://salttiger.com/ios-7-programming-cookbook/,3
167,Building iPhone and iPad Electronic Projects,https://salttiger.com/building-iphone-and-ipad-electronic-projects/,3
168,Learn HTML5 by Creating Fun Games,https://salttiger.com/learn-html5-by-creating-fun-games/,3
169,Effective Akka,https://salttiger.com/effective-akka/,3
170,OpenGL ES 2 for Android,https://salttiger.com/opengl-es-2-for-android/,3
171,"Software Requirements, 3rd Edition",https://salttiger.com/software-requirements-3rd-edition/,3
172,AOP in .NET,https://salttiger.com/aop-in-net/,3
173,"Python Cookbook, 3rd Edition",https://salttiger.com/python-cookbook-3rd-edition/,3
174,"HTML5 Canvas, 2nd Edition",https://salttiger.com/html5-canvas-2nd-edition/,3
175,2012年十大外版图书,https://salttiger.com/2012-top10-programming-ebook/,3
176,The Art of Agile Development,https://salttiger.com/the-art-of-agile-development/,3
177,Juniper MX Series,https://salttiger.com/juniper-mx-series/,3
178,DSLs in Action,https://salttiger.com/dsls-in-action/,3
179,"C# in Depth, Second Edition",https://salttiger.com/csharp-in-depth-second-edition/,3
180,Head First C,https://salttiger.com/head-first-c/,3
181,Maintainable JavaScript,https://salttiger.com/maintainable-javascript/,3
182,"TCP/IP Network Administration, 3rd Edition",https://salttiger.com/tcpip-network-administration-3rd-edition/,3
183,Making Embedded Systems,https://salttiger.com/making-embedded-systems/,3
184,Big Data Glossary,https://salttiger.com/big-data-glossary/,3
185,JavaScript: The Good Parts,https://salttiger.com/javascript-the-good-parts/,3
186,Programming Collective Intelligence,https://salttiger.com/programming-collective-intelligence/,3
187,"Learning SQL, 3rd Edition",https://salttiger.com/learning-sql-3rd-edition/,2
188,Mastering Large Datasets with Python,https://salttiger.com/mastering-large-datasets-with-python/,2
189,Cloud Native Transformation,https://salttiger.com/cloud-native-transformation/,2
190,"Database Processing: Fundamentals, Design, and Implementation, 15th Edition",https://salttiger.com/database-processing-fundamentals-design-and-implementation-15th-edition/,2
191,Machine Learning with TensorFlow,https://salttiger.com/machine-learning-with-tensorflow/,2
192,Combine: Asynchronous Programming with Swift,https://salttiger.com/combine-asynchronous-programming-with-swift/,2
193,"Automate the Boring Stuff with Python, 2nd Edition",https://salttiger.com/automate-the-boring-stuff-with-python-2nd-edition/,2
194,Make Your Own Scratch Games!,https://salttiger.com/make-your-own-scratch-games/,2
195,Advanced Swift: Updated for Swift 5,https://salttiger.com/advanced-swift-updated-for-swift-5/,2
196,"iOS Animations by Tutorials, 6th Edition",https://salttiger.com/ios-animations-by-tutorials-6th-edition/,2
197,"C++ Templates, 2nd Edition",https://salttiger.com/cpp-templates-2nd-edition/,2
198,"ng-book: The Complete Book on Angular 9, r76",https://salttiger.com/ng-book-the-complete-book-on-angular-9-r76/,2
199,"RxSwift: Reactive Programming with Swift, 3rd Edition",https://salttiger.com/rxswift-reactive-programming-with-swift-3rd-edition/,2
200,"iOS Apprentice, 7th Edition",https://salttiger.com/ios-apprentice-7th-edition/,2
201,Prometheus: Up & Running,https://salttiger.com/prometheus-up-and-running/,2
202,"Data Science from Scratch, 2nd Edition",https://salttiger.com/data-science-from-scratch-2nd-edition/,2
203,React Native in Action,https://salttiger.com/react-native-in-action/,2
204,NGINX Cookbook,https://salttiger.com/nginx-cookbook/,2
205,HTTP/2 in Action,https://salttiger.com/http2-in-action/,2
206,"The Linux Command Line, 2nd Edition",https://salttiger.com/the-linux-command-line-2nd-edition/,2
207,"Property-Based Testing with PropEr, Erlang, and Elixir",https://salttiger.com/property-based-testing-with-proper-erlang-and-elixir/,2
208,Docker for Rails Developers,https://salttiger.com/docker-for-rails-developers/,2
209,"Java in a Nutshell, 7th Edition",https://salttiger.com/java-in-a-nutshell-7th-edition/,2
210,Grokking Deep Learning,https://salttiger.com/grokking-deep-learning/,2
211,"The Quick Python Book, 3rd Edition",https://salttiger.com/the-quick-python-book-3rd-edition/,2
212,"Spring in Action, 5th Edition",https://salttiger.com/spring-in-action-5th-edition/,2
213,Modern Java in Action,https://salttiger.com/modern-java-in-action/,2
214,Fullstack React Native,https://salttiger.com/fullstack-react-native/,2
215,Programming Elixir 1.6,https://salttiger.com/programming-elixir-1-6/,2
216,Modern Vim,https://salttiger.com/modern-vim/,2
217,Spring Microservices in Action,https://salttiger.com/spring-microservices-in-action/,2
218,"Unity in Action, 2nd Edition",https://salttiger.com/unity-in-action-2nd-edition/,2
219,"Professional C++, 4th Edition",https://salttiger.com/professional-cpp-4th-edition/,2
220,Vue.js: Up and Running,https://salttiger.com/vue-js-up-and-running/,2
221,Hands-On Data Structures and Algorithms with JavaScript,https://salttiger.com/hands-on-data-structures-and-algorithms-with-javascript/,2
222,"Flask Web Development, 2nd Edition",https://salttiger.com/flask-web-development-2nd-edition/,2
223,Kotlin in Action,https://salttiger.com/kotlin-in-action/,2
224,Spark: The Definitive Guide,https://salttiger.com/spark-the-definitive-guide/,2
225,"The Busy Coder’s Guide to Android Development, Final Version",https://salttiger.com/the-busy-coders-guide-to-android-development-final-version/,2
226,iOS 11 by Tutorials,https://salttiger.com/ios-11-by-tutorials/,2
227,"Android Programming: The Big Nerd Ranch Guide, 3rd Edition",https://salttiger.com/android-programming-the-big-nerd-ranch-guide-3rd-edition/,2
228,"Mobile App Development with Ionic, Revised Edition",https://salttiger.com/mobile-app-development-with-ionic-revised-edition/,2
229,Clean Architecture,https://salttiger.com/clean-architecture/,2
230,TensorFlow Machine Learning Cookbook,https://salttiger.com/tensorflow-machine-learning-cookbook/,2
231,Java 9 Data Structures and Algorithms,https://salttiger.com/java-9-data-structures-and-algorithms/,2
232,"iOS Animations by Tutorials, 3rd Edition",https://salttiger.com/ios-animations-by-tutorials-3rd-edition/,2
233,3D Apple Games by Tutorials,https://salttiger.com/3d-apple-games-by-tutorials/,2
234,Software Architecture with Python,https://salttiger.com/software-architecture-with-python/,2
235,Learning React,https://salttiger.com/learning-react/,2
236,Electronics Cookbook,https://salttiger.com/electronics-cookbook/,2
237,Kotlin for Android Developers,https://salttiger.com/kotlin-for-android-developers/,2
238,Programming Kotlin,https://salttiger.com/programming-kotlin/,2
239,Masterminds of Programming,https://salttiger.com/masterminds-of-programming/,2
240,"Spring MVC: Beginner’s Guide, 2nd Edition",https://salttiger.com/spring-mvc-beginners-guide-2nd-edition/,2
241,"Swift Apprentice, 2nd Edition",https://salttiger.com/swift-apprentice-2nd-edition/,2
242,The Book of R,https://salttiger.com/the-book-of-r/,2
243,IPv6 Address Planning,https://salttiger.com/ipv6-address-planning/,2
244,"WCF Multi-layer Services Development with Entity Framework, 4th Edition",https://salttiger.com/wcf-multi-layer-services-development-with-entity-framework-4th-edition/,2
245,Learning Web Development with React and Bootstrap,https://salttiger.com/learning-web-development-with-react-and-bootstrap/,2
246,Scientific Computing with Python 3,https://salttiger.com/scientific-computing-with-python-3/,2
247,"Programming in Scala, 3rd Edition",https://salttiger.com/programming-in-scala-3rd-edition/,2
248,iOS 10 Swift Programming Cookbook,https://salttiger.com/ios-10-swift-programming-cookbook/,2
249,Reactive Programming with RxJS,https://salttiger.com/reactive-programming-with-rxjs/,2
250,"Wicked Cool Shell Scripts, 2nd Edition",https://salttiger.com/wicked-cool-shell-scripts-2nd-edition/,2
251,"Secrets of the JavaScript Ninja, 2nd Edition",https://salttiger.com/secrets-of-the-javascript-ninja-2nd-edition/,2
252,Functional Programming in JavaScript,https://salttiger.com/functional-programming-in-javascript/,2
253,"Learning JavaScript, 3rd Edition",https://salttiger.com/learning-javascript-3rd-edition/,2
254,High-Performance Java Persistence,https://salttiger.com/high-performance-java-persistence/,2
255,2D iOS & tvOS Games by Tutorials,https://salttiger.com/2d-ios-and-tvos-games-by-tutorials/,2
256,"PHP Web Services, 2nd Edition",https://salttiger.com/php-web-services-2nd-edition/,2
257,"Think Python, 2nd Edition",https://salttiger.com/think-python-2nd-edition/,2
258,"Learning JavaScript, 3rd Edition, Early Release",https://salttiger.com/learning-javascript-3rd-edition-early-release/,2
259,Design Sprint,https://salttiger.com/design-sprint/,2
260,Using Flume,https://salttiger.com/using-flume/,2
261,"C in a Nutshell, 2nd Edition, Early Release",https://salttiger.com/c-in-a-nutshell-2nd-edition-early-release/,2
262,"Photoshop CC: The Missing Manual, 2nd Edition",https://salttiger.com/photoshop-cc-the-missing-manual-2nd-edition/,2
263,Minecraft Modding with Forge,https://salttiger.com/minecraft-modding-with-forge/,2
264,Data Science from Scratch,https://salttiger.com/data-science-from-scratch/,2
265,"You Don’t Know JS: ES6 & Beyond, Early Release",https://salttiger.com/you-dont-know-js-es6-beyond-early-release/,2
266,"Mastering Ext JS, 2nd Edition",https://salttiger.com/mastering-ext-js-2nd-edition/,2
267,JavaScript Application Design,https://salttiger.com/javascript-application-design/,2
268,Java 8 in Action,https://salttiger.com/java-8-in-action/,2
269,Soft Skills,https://salttiger.com/soft-skills/,2
270,Node.js in Practice,https://salttiger.com/node-js-in-practice/,2
271,iOS 8 by Tutorials,https://salttiger.com/ios-8-by-tutorials/,2
272,Lightweight Django,https://salttiger.com/lightweight-django/,2
273,"Java in a Nutshell, 6th Edition",https://salttiger.com/java-in-a-nutshell-6th-edition/,2
274,iOS 6 By Tutorials: Volume 1 + 2,https://salttiger.com/ios-6-by-tutorials/,2
275,"Modern Operating Systems, 4th Edition",https://salttiger.com/modern-operating-systems-4th-edition/,2
276,You Don’t Know JS: this & Object Prototypes,https://salttiger.com/you-dont-know-js-this-object-prototypes/,2
277,FileMaker Pro 13: The Missing Manual,https://salttiger.com/filemaker-pro-13-the-missing-manual/,2
278,"Raspberry Pi: A Quick-Start Guide, 2nd Edition",https://salttiger.com/raspberry-pi-a-quick-start-guide-2nd-edition/,2
279,WordPress: Pushing the Limits,https://salttiger.com/wordpress-pushing-the-limits/,2
280,Programming Windows Store Apps with C#,https://salttiger.com/programming-windows-store-apps-with-csharp/,2
281,Android Studio Application Development,https://salttiger.com/android-studio-application-development/,2
282,Microsoft SQL Server 2012 Internals,https://salttiger.com/microsoft-sql-server-2012-internals/,2
283,Crafting Rails 4 Applications,https://salttiger.com/crafting-rails-4-applications/,2
284,Developing Windows Store Apps with HTML5 and JavaScript,https://salttiger.com/developing-windows-store-apps-html5-javascript/,2
285,Backbone.js Cookbook,https://salttiger.com/backbone-js-cookbook/,2
286,Programming Elastic MapReduce,https://salttiger.com/programming-elastic-mapreduce/,2
287,Anonymizing Health Data,https://salttiger.com/anonymizing-health-data/,2
288,"Head First PMP, 3rd Edition",https://salttiger.com/head-first-pmp-3rd-edition/,2
289,"TCP/IP Illustrated, Volume 2: The Implementation",https://salttiger.com/tcpip-illustrated-volume-2-the-implementation/,2
290,Pro Node.js for Developers,https://salttiger.com/pro-node-js-developers/,2
291,"Theory of Fun for Game Design, 2nd Edition",https://salttiger.com/theory-fun-game-design-2nd-edition/,2
292,Real World OCaml,https://salttiger.com/real-world-ocaml/,2
293,TestNG Beginner’s Guide,https://salttiger.com/testng-beginners-guide/,2
294,Learning Metasploit Exploitation and Development,https://salttiger.com/learning-metasploit-exploitation-development/,2
295,Building Machine Learning Systems with Python,https://salttiger.com/building-machine-learning-systems-python/,2
296,Agile Data Science,https://salttiger.com/agile-data-science/,2
297,RESTful Web APIs,https://salttiger.com/restful-web-apis/,2
298,"C# in Depth, 3rd Edition",https://salttiger.com/csharp-in-depth-3rd-edition/,2
299,Pro Objective-C,https://salttiger.com/pro-objective-c/,2
300,Unity Shaders and Effects Cookbook,https://salttiger.com/unity-shaders-and-effects-cookbook/,2
301,Socket.IO Real-time Web Application Development,https://salttiger.com/socket-io-real-time-web-application-development/,2
302,Boost.Asio C++ Network Programming,https://salttiger.com/boost-asio-c-network-programming/,2
303,Android Native Development Kit Cookbook,https://salttiger.com/android-native-development-kit-cookbook/,2
304,Hadoop Beginner’s Guide,https://salttiger.com/hadoop-beginners-guide/,2
305,"Java 7 Pocket Guide, 2nd Edition",https://salttiger.com/java-7-pocket-guide-2nd-edition/,2
306,Redis in Action,https://salttiger.com/redis-in-action/,2
307,Office 2013: The Missing Manual,https://salttiger.com/office-2013-the-missing-manual/,2
308,"Linux System Programming, 2nd Edition",https://salttiger.com/linux-system-programming-2nd-edition/,2
309,Excel 2013: The Missing Manual,https://salttiger.com/excel-2013-the-missing-manual/,2
310,Understanding and Using C Pointers,https://salttiger.com/understanding-and-using-c-pointers/,2
311,Lean Analytics,https://salttiger.com/lean-analytics/,2
312,"Design Patterns in Java, 2nd Edition",https://salttiger.com/design-patterns-in-java-2nd-edition/,2
313,"Windows PowerShell Cookbook, 3rd Edition",https://salttiger.com/windows-powershell-cookbook-3rd-edition/,2
314,JavaScript Enlightenment,https://salttiger.com/javascript-enlightenment/,2
315,R Graphics Cookbook,https://salttiger.com/r-graphics-cookbook/,2
316,Node.js for PHP Developers,https://salttiger.com/node-js-for-php-developers/,2
317,2012年总结,https://salttiger.com/2012-summary/,2
318,Python for Data Analysis,https://salttiger.com/python-for-data-analysis/,2
319,Async in C# 5.0,https://salttiger.com/async-in-csharp-5-0/,2
320,Linux System Programming,https://salttiger.com/linux-system-programming/,2
321,Spring Integration in Action,https://salttiger.com/spring-integration-in-action/,2
322,"Learning PHP, MySQL, JavaScript, and CSS, 2nd Edition",https://salttiger.com/learning-php-mysql-javascript-and-css-2nd-edition/,2
323,Machine Learning in Action,https://salttiger.com/machine-learning-in-action/,2
324,Android in Practice,https://salttiger.com/android-in-practice/,2
325,Getting Started with Metro Style Apps,https://salttiger.com/getting-started-with-metro-style-apps/,2
326,"CSS: The Missing Manual, 2nd Edition",https://salttiger.com/css-the-missing-manual-2nd-edition/,2
327,"Java in a Nutshell, 5th Edition",https://salttiger.com/java-in-a-nutshell-5th-edition/,2
328,Web Performance Daybook Volume 2,https://salttiger.com/web-performance-daybook-volume-2/,2
